dish_id,total_calories,total_mass,total_fat,total_carb,total_protein,ingredients
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647,"mustard: 0.40636g, vinegar: 2.600707g, mixed greens: 32.508835g, celery root: 2.600707g, olive oil: 5.201414g, salt: 0.081272g, cherry tomatoes: 2.600707g"
dish_1562611680,326.888977,256.0,19.411798,24.775015,16.028036,"cilantro: 0.066242g, garlic: 0.354003g, olive oil: 7.088608g, pepperoni pizza: 50.0g, lemon juice: 0.132484g, onions: 1.589809g, vinegar: 3.676788g, blueberries: 7.088608g, salt: 0.25464g, caesar salad: 110.0g, steak: 19.872612g, kale: 0.66242g, jalapenos: 0.066242g, spinach (raw): 44.303799g, mustard: 0.443038g, white rice: 2.649682g, radishes: 7.088608g, pineapple: 0.66242g"
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873,"cherry tomatoes: 3.638484g, cauliflower: 60.0g, lime: 0.454811g, mayonnaise: 1.84466g, jalapenos: 0.115291g, pepperoni pizza: 63.0g, parsley: 0.461165g, vinegar: 1.819242g, lemon juice: 0.92233g, cabbage: 9.223301g, mixed greens: 13.644315g, lettuce: 9.09621g, salt: 0.342697g, pepper: 0.344285g, pineapple: 58.0g, pork: 69.174751g, wheat berry: 9.223301g, onions: 1.819242g, cucumbers: 4.548105g, olive oil: 4.099649g, garlic: 0.92233g, carrot: 2.305825g"
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887,"yam: 46.226414g, sweet potato: 46.226414g, cottage cheese: 83.0g, pineapple: 107.0g, watermelon: 132.0g, olive oil: 5.54717g, berries: 63.0g"
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001,scrambled eggs: 134.0g
dish_1558549008,20.700001,115.0,0.23,4.485,1.035,cherry tomatoes: 115.0g
dish_1560453174,329.716248,256.0,18.145134,10.521854,32.1376,"basil: 0.226489g, rosemary: 0.226489g, carrot: 5.592233g, olive oil: 12.996382g, almonds: 2.796117g, lemon juice: 0.452979g, parsley: 1.152008g, green beans: 33.0g, blueberries: 13.980583g, chicken: 90.595764g, pepper: 0.056622g, salt: 0.462759g, garlic: 0.452979g, vinegar: 2.796117g, zucchini: 4.529788g, mustard: 0.699029g, spinach (raw): 72.167801g, thyme: 0.226489g, wheat berry: 9.059577g, squash: 4.529788g"
dish_1563824250,17.200001,43.0,0.043,3.87,0.473,onions: 43.0g
dish_1560543755,257.924927,264.0,8.887804,27.355255,17.404505,"green onions: 1.198342g, chicken: 43.041904g, cauliflower: 75.0g, green beans: 1.076048g, spinach (raw): 1.076048g, ginger: 0.21521g, olive oil: 1.090737g, roasted potatoes: 86.0g, mixed greens: 9.831325g, carrot: 4.915662g, broccoli: 1.076048g, salt: 0.026901g, white rice: 4.30419g, vinegar: 2.181475g, rice noodles: 19.662649g, cabbage: 9.831325g, radishes: 1.966265g, soy sauce: 0.706776g, garlic: 0.799094g"
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667,"broccoli: 29.333334g, caesar salad: 88.0g, squash: 29.333334g, zucchini: 29.333334g"
dish_1558459276,102.699997,79.0,0.237,22.120001,2.133,white rice: 79.0g
dish_1560974707,55.025124,60.0,2.003546,7.088692,2.992605,"onions: 4.151351g, spinach (raw): 25.945946g, cherry tomatoes: 3.113513g, tortilla chips: 2.075676g, corn: 5.189189g, cheese: 3.113513g, salt: 0.064865g, chili: 0.259459g, tomatoes: 2.075676g, garlic: 0.518919g, lime: 1.037838g, sour cream: 2.075676g, black beans: 10.378379g"
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505,"cucumbers: 10.612245g, onions: 4.244898g, brownies: 92.0g, chicken breast: 122.0g, cherry tomatoes: 8.489797g, olives: 25.0g, salt: 0.530612g, lettuce: 21.224489g, cheese pizza: 105.0g, mixed greens: 31.836735g, lime: 1.061225g, pepper: 0.265306g, olive oil: 8.489797g, vinegar: 4.244898g"
dish_1565119669,55.965,229.0,1.0305,10.842,3.2725,"kale: 39.0g, zucchini: 75.5g, chard: 39.0g, chayote squash: 75.5g"
dish_1566417516,385.402527,425.0,36.516472,23.505039,33.699574,"wheat berry: 31.63763g, eggplant: 109.803925g, cherry tomatoes: 8.928233g, mixed greens: 32.508835g, celery root: 2.600707g, salt: 1.574782g, mustard: 0.40636g, garlic: 1.581882g, olive oil: 12.626979g, vinegar: 2.600707g, chard: 14.236935g, fish: 158.188156g, chive: 0.39547g, shallots: 3.163763g, roasted potatoes: 40.0g, parsley: 1.581882g, lemon juice: 3.163763g"
dish_1558724031,358.710999,303.0,25.801001,25.789999,14.067,"cherry tomatoes: 107.0g, cantaloupe: 93.0g, almonds: 51.0g, cauliflower: 52.0g"
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001,almonds: 128.0g
dish_1563393217,49.230003,228.0,0.467667,9.802668,2.865667,"zucchini: 39.333336g, broccoli: 39.333336g, squash: 39.333336g, onions: 35.0g, cucumbers: 75.0g"
dish_1562789268,569.511536,350.0,22.733551,64.756828,32.585655,"pork: 76.447876g, corn on the cob: 196.0g, brown rice: 10.19305g, lemon juice: 0.509652g, parsley: 0.254826g, basil: 0.254826g, shallots: 0.509652g, cherry tomatoes: 2.548263g, cheese pizza: 55.0g, pepper: 1.019305g, salt: 0.127413g, vinegar: 0.509652g, olive oil: 2.03861g, onions: 1.019305g, garlic: 1.019305g, broccoli: 2.548263g"
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647,"spinach (raw): 28.235296g, vinegar: 2.823529g, tomatoes: 3.529412g, salt: 0.176471g, mustard: 0.352941g, garlic: 0.529412g, olive oil: 5.647059g, mustard greens: 7.058824g, cucumbers: 5.647059g"
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401,"olive oil: 8.999132g, blueberries: 4.354431g, onions: 4.644702g, tomatoes: 11.611754g, salt: 2.458427g, fried rice: 128.0g, chicken: 92.894035g, pepper: 0.435441g, mustard: 0.272152g, garlic: 2.458427g, bell peppers: 11.611754g, millet: 23.223509g, jalapenos: 4.644702g, spinach (raw): 31.85989g, vinegar: 2.177215g, radishes: 4.354431g"
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982,"olive oil: 3.780488g, egg whites: 369.0g, watermelon: 121.0g, sweet potato: 151.219513g, salsa: 104.0g"
dish_1564761488,327.986023,336.0,8.358,40.558998,21.735001,"turkey bacon: 21.0g, egg whites: 105.0g, fried rice: 97.0g, honeydew melons: 113.0g"
dish_1559678330,169.694122,150.0,16.186766,5.269608,3.199019,"olive oil: 15.686275g, spinach (raw): 78.431374g, vinegar: 7.843137g, tomatoes: 9.803922g, garlic: 1.470588g, cucumbers: 15.686275g, salt: 0.490196g, mustard: 0.980392g, mustard greens: 19.607843g"
dish_1565033110,47.599998,147.0,0.588,9.355,3.418,"broccoli: 92.0g, mixed greens: 55.0g"
dish_1564428444,157.001038,277.0,10.32739,14.948835,4.712034,"olive oil: 9.508572g, onions: 7.131428g, salt: 0.297143g, garlic: 0.891429g, pears: 11.885715g, mixed greens: 59.428574g, mustard: 0.594286g, cherry tomatoes: 9.508572g, cauliflower: 173.0g, vinegar: 4.754286g"
dish_1558459115,271.540009,298.0,10.487999,43.459003,6.616,"almonds: 20.0g, apple: 143.0g, white rice: 32.0g, cherry tomatoes: 61.0g, grapes: 42.0g"
dish_1558723777,74.360001,143.0,0.286,20.02,0.429,apple: 143.0g
dish_1558721757,768.873047,133.0,65.834999,30.191,29.792002,almonds: 133.0g
dish_1564777960,331.007507,147.0,16.715342,16.270294,26.4312,"spinach (cooked): 2.748966g, cheese pizza: 39.0g, shallots: 5.497932g, onions: 2.748966g, salt: 0.103086g, olive oil: 0.549793g, vinegar: 0.137448g, bok choy: 2.748966g, beef: 82.468979g, millet: 10.995864g"
dish_1563468269,129.01001,302.0,0.56,32.762001,1.768,"berries: 63.0g, watermelon: 132.0g, pineapple: 107.0g"
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002,"grapes: 52.0g, almonds: 48.0g, sausage: 112.0g"
dish_1562873028,280.3414,320.0,16.123878,34.232201,20.963665,"jicama: 3.247136g, parsley: 0.202946g, nopales: 2.435352g, olive oil: 4.128028g, cherry tomatoes: 54.0g, chive: 0.202946g, fish: 81.178391g, pepper: 1.623568g, salt: 0.202946g, corn: 16.23568g, arugula: 4.05892g, sour cream: 4.05892g, green beans: 18.525g, celery: 13.0g, carrot: 4.05892g, couscous: 110.0g, garlic: 0.405892g, lime: 2.435352g"
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462,apple: 154.0g
dish_1558724959,581.441956,426.0,36.466,57.004002,21.298,"brussels sprouts: 118.0g, carrot: 75.0g, almonds: 72.0g, apple: 161.0g"
dish_1558115867,132.962997,23.0,11.385,5.221,5.152,almonds: 23.0g
dish_1561580370,126.795876,124.0,4.96353,16.20141,5.41,"spinach (raw): 1.411765g, wheat berry: 23.0g, cheese: 0.705882g, cherry tomatoes: 3.529412g, pasta: 35.294117g, pesto: 5.647059g, caesar salad: 53.0g, onions: 1.411765g"
dish_1561061658,226.000137,227.0,12.284481,24.678637,8.949248,"croutons: 0.317719g, pepper: 0.094711g, parmesan cheese: 4.236252g, brussels sprouts: 75.768761g, mustard greens: 34.285713g, garlic: 0.571429g, kale: 40.668022g, parsley: 2.285714g, salt: 0.664558g, shallots: 2.285714g, arugula: 22.857143g, olive oil: 9.900545g, lemon juice: 1.142857g, caesar dressing: 6.778005g, cranberries: 2.285714g, bulgur: 11.428572g, apple: 11.428572g"
dish_1559838402,222.759506,233.0,3.797,43.154999,5.249,"bacon: 8.0g, sweet potato: 59.5g, yam: 59.5g, berries: 106.0g"
dish_1564686832,829.737549,392.0,39.732468,64.516342,54.179504,"onions: 4.244898g, brownies: 49.0g, olives: 25.0g, chicken breast: 122.0g, salt: 0.530612g, lime: 1.061225g, cherry tomatoes: 8.489797g, cheese pizza: 105.0g, lettuce: 21.224489g, pepper: 0.265306g, mixed greens: 31.836735g, olive oil: 8.489797g, vinegar: 4.244898g, cucumbers: 10.612245g"
dish_1561753238,298.034393,333.0,13.71139,14.026631,28.881098,"olive oil: 4.618317g, arugula: 4.144922g, brown rice: 20.724611g, pepper: 12.472292g, squash: 68.064117g, kale: 18.227848g, salmon: 103.623055g, parsley: 0.683544g, garlic: 0.911392g, lemon juice: 7.29114g, salt: 0.969994g, tatsoi: 72.911392g, thyme: 0.129529g, cucumbers: 18.227848g"
dish_1566938026,450.576294,219.0,17.546904,37.536308,33.509502,"spinach (cooked): 2.211539g, wine: 0.442308g, cheese pizza: 104.0g, salt: 0.110577g, lemon juice: 0.110577g, squash: 4.423077g, eggplant: 4.423077g, mushroom: 4.423077g, chicken thighs: 88.46154g, olive oil: 0.221154g, quinoa: 8.846154g, garlic: 0.442308g, shallots: 0.884615g"
dish_1559751801,451.635986,343.0,22.040001,32.778,29.228001,"berries: 66.0g, yam: 66.0g, eggs: 122.0g, chicken apple sausage: 89.0g"
dish_1564000490,532.706482,325.0,19.150002,49.639648,39.909866,"pepper: 0.346472g, arugula: 1.73236g, cream: 2.771776g, caesar salad: 108.0g, butter: 0.692944g, shallots: 0.346472g, cheese pizza: 128.0g, salt: 0.692944g, garlic: 0.692944g, lemon juice: 0.173236g, basil: 0.346472g, mushroom: 3.46472g, wheat berry: 6.92944g, oregano: 0.216545g, thyme: 0.216545g, olive oil: 0.692944g, rosemary: 0.216545g, white wine: 0.173236g, chicken: 69.294403g"
dish_1564000459,485.186493,217.0,16.882004,44.995647,36.453865,"butter: 0.692944g, wheat berry: 6.92944g, thyme: 0.216545g, olive oil: 0.692944g, rosemary: 0.216545g, lemon juice: 0.173236g, cheese pizza: 128.0g, shallots: 0.346472g, garlic: 0.692944g, salt: 0.692944g, white wine: 0.173236g, pepper: 0.346472g, cream: 2.771776g, mushroom: 3.46472g, arugula: 1.73236g, oregano: 0.216545g, basil: 0.346472g, chicken: 69.294403g"
dish_1558457530,16.0,64.0,0.192,3.2,1.152,cauliflower: 64.0g
dish_1558723449,74.360001,143.0,0.286,20.02,0.429,apple: 143.0g
dish_1567628157,373.190979,355.0,36.018696,25.867041,37.479683,"green onions: 1.745597g, fish: 174.559692g, apple: 8.51312g, arugula: 17.026239g, onions: 6.982388g, chard: 29.5g, country rice: 34.911938g, cranberries: 1.702624g, lemon juice: 0.851312g, garlic: 1.298454g, salt: 0.649227g, parsley: 1.702624g, kale: 29.5g, olive oil: 10.301689g, mustard greens: 25.539358g, shallots: 1.702624g, bulgur: 8.51312g"
dish_1565728415,194.42775,80.0,8.405299,16.724396,12.005533,"cheese pizza: 47.0g, shallots: 1.679924g, spinach (cooked): 0.839962g, onions: 0.839962g, olive oil: 0.167992g, vinegar: 0.041998g, millet: 3.359847g, salt: 0.031499g, bok choy: 0.839962g, beef: 25.198854g"
dish_1565383026,171.559998,287.0,14.031,12.198999,3.695,"spinach (raw): 57.0g, cucumbers: 101.0g, olives: 129.0g"
dish_1558642089,39.360001,96.0,0.192,9.6,0.864,carrot: 96.0g
dish_1562959732,374.663696,232.0,14.678156,31.110981,28.858997,"salt: 0.73031g, soy sauce: 5.842482g, bok choy: 14.606205g, pork: 102.243439g, parsnips: 79.0g, pepper: 0.365155g, garlic: 3.651551g, sugar: 10.954654g, white rice: 14.606205g"
dish_1560368972,196.840424,107.0,8.696033,13.621221,14.67344,"pork: 50.965252g, cherry tomatoes: 1.698842g, garlic: 0.679537g, shallots: 0.339768g, white rice: 41.0g, salt: 0.084942g, onions: 0.679537g, basil: 0.169884g, olive oil: 1.359073g, brown rice: 6.795367g, vinegar: 0.339768g, pepper: 0.679537g, broccoli: 1.698842g, lemon juice: 0.339768g, parsley: 0.169884g"
dish_1561576590,29.231468,101.0,1.295191,3.387423,0.896671,"squash: 99.630089g, olive oil: 0.996301g, salt: 0.373613g"
dish_1558723866,14.75,59.0,0.177,2.95,1.062,cauliflower: 59.0g
dish_1564778030,504.417786,283.0,31.904985,23.514265,30.773952,"millet: 10.995864g, spinach (cooked): 2.748966g, vinegar: 4.358725g, onions: 2.748966g, cheese pizza: 39.0g, broccoli: 72.195122g, bok choy: 2.748966g, mixed greens: 10.553191g, shallots: 5.497932g, blue cheese: 6.331915g, beef: 82.468979g, olive oil: 10.797224g, mustard: 0.26383g, garlic: 0.26383g, walnuts: 4.221276g, lettuce: 27.438297g, salt: 0.366916g"
dish_1561392512,42.75,75.0,0.225,10.5,0.525,berries: 75.0g
dish_1564675118,177.188782,238.0,4.080829,34.125175,2.032732,"olive oil: 3.926829g, watermelon: 77.0g, sweet potato: 157.073181g"
dish_1559319860,70.330002,13.0,5.46,0.182,4.81,bacon: 13.0g
dish_1559242568,116.116005,203.0,0.203,30.855999,0.812,pears: 203.0g
dish_1563824339,85.339996,175.0,4.087,12.075,2.098,"onions: 43.0g, cherry tomatoes: 53.0g, olives: 36.0g, bell peppers: 43.0g"
dish_1567021831,252.435623,228.0,27.216339,8.228521,22.713125,"cherry tomatoes: 4.264796g, pepper: 0.057272g, chive: 0.26655g, wheat berry: 21.323982g, kale: 5.330996g, mustard: 0.57272g, olive oil: 11.595617g, garlic: 0.066637g, walnuts: 1.832705g, lemon juice: 2.132398g, salt: 0.610182g, fish: 106.619904g, chard: 13.428323g, blueberries: 3.665411g, vinegar: 1.718161g, arugula: 51.31575g, parsley: 1.066199g, shallots: 2.132398g"
dish_1559846099,206.938995,114.0,14.642001,15.712999,7.688,"mandarin oranges: 53.0g, almonds: 29.0g, broccoli: 32.0g"
dish_1562873155,41.33675,79.0,2.052025,5.39175,1.38645,"green beans: 77.025002g, olive oil: 1.975g"
dish_1562094621,10.54,34.0,0.034,2.38,0.612,green beans: 34.0g
dish_1563900150,202.2966,154.0,12.745122,10.284879,10.978048,"sweet potato: 47.804878g, olive oil: 1.195122g, scrambled eggs: 105.0g"
dish_1562086702,178.529999,33.0,13.86,0.462,12.21,bacon: 33.0g
dish_1564429894,498.769836,566.0,11.819027,73.531738,25.254065,"quinoa: 184.025558g, salt: 2.320895g, squash: 51.294697g, mayonnaise: 0.932039g, arugula: 18.402555g, parsley: 3.913521g, carrot: 1.165048g, couscous: 92.0g, pepper: 0.116505g, wheat berry: 4.660194g, pork: 34.951454g, jalapenos: 0.058252g, cabbage: 4.660194g, shallots: 0.920128g, thyme: 0.920128g, olive oil: 1.666084g, garlic: 5.066658g, lemon juice: 0.926083g, cauliflower: 158.0g"
dish_1561662458,124.815498,119.0,4.855837,21.055183,3.202388,"lettuce: 6.530612g, lime: 0.326531g, salt: 0.163265g, mixed greens: 9.795918g, onions: 1.306123g, cucumbers: 3.265306g, vinegar: 1.306123g, corn on the cob: 91.0g, olive oil: 2.612245g, pepper: 0.081633g, cherry tomatoes: 2.612245g"
dish_1558720364,73.839996,142.0,0.284,19.879999,0.426,apple: 142.0g
dish_1559845290,66.220001,86.0,0.086,14.62,1.72,potatoes: 86.0g
dish_1559844506,98.959999,180.0,0.459,25.1,1.312,"mandarin oranges: 52.0g, grapes: 81.0g, strawberries: 47.0g"
dish_1560360055,362.734009,180.0,27.786999,4.154,22.556999,"sausage: 49.0g, scrambled eggs: 131.0g"
dish_1567106825,220.200867,104.0,16.905151,3.357732,13.460875,"bok choy: 1.42539g, millet: 5.701559g, blue cheese: 4.902127g, onions: 1.42539g, mustard: 0.204255g, olive oil: 6.821248g, shallots: 2.85078g, spinach (cooked): 1.42539g, mixed greens: 8.170213g, salt: 0.257707g, beef: 42.761692g, vinegar: 3.339355g, garlic: 0.204255g, lettuce: 21.242554g, walnuts: 3.268085g"
dish_1560453380,411.388397,480.0,15.234276,25.491495,41.922752,"zucchini: 2.363368g, brown rice: 18.922472g, arugula: 3.784494g, green beans: 72.0g, wheat berry: 4.726736g, rosemary: 0.118168g, tomatoes: 144.0g, chicken: 47.267357g, pepper: 4.76016g, kimchi: 78.0g, spinach (raw): 1.181684g, squash: 2.363368g, salmon: 94.61235g, thyme: 0.236434g, olive oil: 4.540617g, basil: 0.118168g, lemon juice: 0.236337g, parsley: 0.236337g, salt: 0.295615g, garlic: 0.236337g"
dish_1566849327,551.702026,362.0,31.255999,14.87,55.122002,"parmesan cheese: 36.0g, mixed greens: 70.0g, avocado: 47.0g, olives: 86.0g, chicken: 123.0g"
dish_1560527191,663.989319,318.0,45.395912,28.933577,34.38044,"mustard greens: 4.575164g, cucumbers: 3.660131g, bacon: 34.0g, berries: 81.0g, tomatoes: 2.287582g, garlic: 0.343137g, potatoes: 69.0g, salt: 0.114379g, sausage: 99.0g, mustard: 0.228758g, vinegar: 1.830065g, spinach (raw): 18.300655g, olive oil: 3.660131g"
dish_1563898786,420.928467,344.0,31.47023,11.427504,23.636036,"mustard: 0.49697g, olive oil: 7.951515g, bell peppers: 9.939394g, broccoli: 93.0g, radishes: 7.951515g, salt: 0.248485g, garlic: 0.49697g, scrambled eggs: 210.0g, vinegar: 3.975757g, cucumbers: 9.939394g"
dish_1560973958,145.313232,121.0,6.214187,20.729744,4.312272,"wheat berry: 77.0g, olive oil: 3.65477g, mustard: 0.228423g, pecans: 2.741077g, lime: 0.685269g, salt: 0.114212g, raisins: 4.568462g, pepper: 0.028553g, arugula: 22.84231g, orange: 9.136924g"
dish_1563206582,229.248688,320.0,4.417208,16.967773,26.033964,"yam: 32.07547g, egg whites: 252.0g, olive oil: 3.849057g, sweet potato: 32.07547g"
dish_1565207815,40.848213,80.0,1.023567,7.094023,2.678475,"brussels sprouts: 78.720787g, salt: 0.393604g, pepper: 0.098401g, olive oil: 0.787208g"
dish_1568314823,144.0,90.0,13.500001,8.1,1.8,avocado: 90.0g
dish_1565119464,504.065033,223.0,23.109737,44.41399,28.041883,"millet: 6.821508g, apple: 1.718799g, cheese pizza: 122.0g, salt: 0.117664g, olive oil: 3.778674g, onions: 5.142976g, cranberries: 1.718799g, mustard: 0.4297g, vinegar: 1.804068g, spinach (raw): 21.484991g, spinach (cooked): 1.705377g, beef: 51.161312g, shallots: 3.410754g, bok choy: 1.705377g"
dish_1565725047,77.659996,110.0,4.84,9.372,0.946,"carrot: 66.0g, olives: 44.0g"
dish_1559841163,357.043518,335.0,18.222002,27.539,21.153002,"blackberries: 53.0g, scrambled eggs: 119.0g, yam: 33.5g, sweet potato: 33.5g, chicken apple sausage: 46.0g, broccoli: 50.0g"
dish_1563568338,631.706665,371.0,29.600521,57.599113,38.704674,"salt: 0.353211g, garlic: 0.176605g, olive oil: 2.111873g, kale: 3.53211g, onions: 3.53211g, wheat berry: 23.30097g, mushroom: 14.12844g, corn on the cob: 148.0g, ground turkey: 105.963303g, chive: 0.353211g, cheese pizza: 45.0g, carrot: 1.766055g, thyme: 0.088303g, celery: 1.766055g, cream: 2.825688g, white rice: 14.12844g, eggs: 3.973624g"
dish_1563468299,210.350006,385.0,4.129,35.584,10.898,"cottage cheese: 83.0g, pineapple: 107.0g, watermelon: 132.0g, berries: 63.0g"
dish_1558027001,20.400002,68.0,0.068,5.168,0.408,deprecated: 68.0g
dish_1565033265,1324.084961,625.0,106.343002,19.202002,76.664001,"olives: 127.0g, mixed greens: 55.0g, broccoli: 92.0g, chicken: 233.0g, vinaigrette: 71.0g, olive oil: 47.0g"
dish_1563475921,244.343323,348.0,6.723852,27.165054,19.799664,"shallots: 2.110607g, garlic: 2.110607g, lemon juice: 0.703536g, onions: 1.407072g, spinach (raw): 3.517679g, jalapenos: 0.703536g, pineapple: 78.0g, cauliflower: 75.0g, honeydew melons: 98.0g, chili: 0.175884g, salt: 0.175884g, olive oil: 0.527652g, lime: 0.087942g, ginger: 0.351768g, brown rice: 14.070716g, cilantro: 0.703536g, salmon: 70.353584g"
dish_1561665024,100.570984,121.0,6.984664,8.948565,2.141329,"lemon juice: 1.754594g, onions: 3.509188g, olive oil: 6.667457g, mixed greens: 43.864849g, parsley: 0.438648g, salt: 0.219324g, apple: 8.77297g, millet: 7.018376g, green beans: 47.0g, vinegar: 1.754594g"
dish_1563813308,224.982895,76.0,16.446194,3.901661,15.332276,"salt: 0.186962g, pepper: 0.04674g, brussels sprouts: 37.392376g, olive oil: 0.373924g, bacon: 38.0g"
dish_1561062555,47.093922,32.0,3.147569,4.405365,1.027732,"apple: 3.731778g, shallots: 0.746356g, salt: 0.093294g, bulgur: 3.731778g, olive oil: 2.985423g, cranberries: 0.746356g, lemon juice: 0.373178g, mustard greens: 11.195335g, parsley: 0.746356g, arugula: 7.463557g, garlic: 0.186589g"
dish_1558723414,51.988998,49.0,1.176,10.78,1.519,corn on the cob: 49.0g
dish_1562691674,376.976868,435.0,11.33825,42.573318,26.482393,"sweet potato: 56.5g, olive oil: 2.219512g, broccoli: 88.780487g, egg whites: 96.0g, yam: 56.5g, greek yogurt: 38.765083g, chia seeds: 9.725404g, chicken apple sausage: 45.0g, milk: 41.509514g"
dish_1566591080,909.629578,549.0,43.513371,19.378721,103.567314,"pepper: 8.602063g, salmon: 171.203308g, chicken: 142.0g, olives: 14.0g, arugula: 6.848132g, brown rice: 34.240662g, chicken salad: 97.0g, olive oil: 7.176089g, thyme: 0.214004g, carrot: 67.036354g, salt: 0.679395g"
dish_1564082462,905.354492,609.0,32.071827,40.532917,108.82251,"soy sauce: 2.940334g, pesto: 10.705882g, cherry tomatoes: 6.691177g, brown rice: 27.537092g, chard: 6.884273g, spinach (raw): 2.676471g, pork: 51.455849g, cheese: 1.338235g, caesar salad: 93.0g, parsley: 0.344214g, white rice: 7.350835g, sugar: 5.513126g, garlic: 3.214563g, carrot: 27.537092g, salt: 1.744396g, pepper: 0.183771g, bok choy: 7.350835g, pasta: 66.911766g, olive oil: 5.507418g, basil: 0.344214g, rosemary: 0.344214g, lemon juice: 1.032641g, onions: 2.676471g, chive: 0.344214g, chicken: 275.370941g"
dish_1562602860,165.182281,258.0,5.622155,20.834251,10.206213,"strawberries: 68.0g, milk: 55.346016g, chia seeds: 12.967206g, greek yogurt: 51.686775g, watermelon: 70.0g"
dish_1561739954,276.119995,225.0,16.059999,16.556,15.39,"sweet potato: 79.0g, scrambled eggs: 146.0g"
dish_1558638983,59.416,56.0,1.344,12.32,1.736,corn on the cob: 56.0g
dish_1558631825,118.832001,112.0,2.688,24.639999,3.472,corn on the cob: 112.0g
