dish_id,background,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,food_containers,dining_tools,other_food
dish_1557861697,211789,541,113,0,11915,0,31,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,38137,0,0
dish_1557861795,216291,15764,0,0,0,0,0,2727,0,0,0,0,87,0,0,0,0,0,364,0,0,0,0,27936,0,0
dish_1557861837,163158,16806,2060,0,11718,0,263,4168,0,0,0,0,2436,0,0,0,0,0,0,0,0,0,0,62560,0,0
dish_1557862345,216804,0,0,147,0,0,0,15469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30749,0,0
dish_1557862696,216251,0,20312,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,26543,0,0
dish_1557862738,217980,0,0,0,0,0,20495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24694,0,0
dish_1557862783,158964,232,21270,0,22,0,25255,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51805,0,0
dish_1557862829,214231,33636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15302,0,0
dish_1557863012,217158,0,0,0,13938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32073,0,0
dish_1557863056,217496,0,0,0,12586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33087,0,0
dish_1557863104,215721,0,0,0,14439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33009,0,0
dish_1557863170,158329,36680,10,0,19091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49059,0,0
dish_1557936555,168289,0,7652,0,0,0,0,0,0,14938,0,0,0,0,0,0,0,0,0,0,0,0,0,72290,0,0
dish_1557936599,168163,0,19905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75100,1,0
dish_1557936645,168672,0,3,1179,51,6399,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86064,0,0
dish_1557937037,168520,0,0,0,0,13050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81599,0,0
dish_1557937079,169962,121,1,215,12,0,15588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77270,0,0
dish_1557937157,96422,0,20252,0,0,16266,19039,0,0,24010,0,0,0,0,0,0,0,0,0,0,0,0,0,87180,0,0
dish_1557937335,168234,0,0,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85218,0,0
dish_1557937427,167631,0,7886,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,87645,0,0
dish_1557937574,167515,0,112,0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92448,0,0
dish_1557937615,167942,0,0,0,0,5430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89787,10,0
dish_1557937715,167800,14,0,21,76,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86687,0,0
dish_1557937758,102778,0,43,6836,0,19375,32,0,0,5721,0,0,0,0,2693,0,0,0,0,0,0,0,0,125691,0,0
dish_1558026623,166702,0,0,0,0,17408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79059,0,0
dish_1558026684,166763,0,0,0,0,14248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82158,0,0
dish_1558026714,165967,0,0,129,0,0,17605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79468,0,0
dish_1558026756,130638,0,0,1665,0,29340,16483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85043,0,0
dish_1558027001,166885,0,0,5,0,16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80123,0,0
dish_1558027057,167016,0,0,11956,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,84193,0,0
dish_1558027164,166622,0,0,0,0,0,19550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76997,0,0
dish_1558027243,130786,0,0,12962,0,13885,18810,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,86529,0,0
dish_1558028007,166517,0,0,671,0,1856,0,0,0,0,0,0,0,0,10176,0,0,0,0,0,0,0,0,83949,0,0
dish_1558028057,166937,0,0,0,0,0,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79600,0,0
dish_1558028142,166413,0,0,38,0,15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80886,0,0
dish_1558028194,132137,2,0,1516,3,16297,18961,0,0,0,0,0,0,0,8881,0,0,0,0,0,0,0,0,85372,0,0
dish_1558028492,166466,0,0,0,0,14181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82522,0,0
dish_1558028606,167955,0,0,30,0,12972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82212,0,0
dish_1558028690,165744,0,0,0,0,13460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83965,0,0
dish_1558028772,131986,0,0,0,0,41713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89470,0,0
dish_1558029148,166164,0,0,0,0,22819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74186,0,0
dish_1558029230,166427,0,0,576,0,0,0,0,0,0,0,0,0,0,21396,0,0,0,0,0,0,0,0,74770,0,0
dish_1558029278,166326,0,0,0,0,0,14485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82358,0,0
dish_1558029324,131207,0,0,2612,0,18863,15226,0,0,0,0,0,0,0,17536,0,0,0,0,0,0,0,0,77725,0,0
dish_1558029518,166740,0,0,22665,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,73754,0,0
dish_1558029686,167794,0,0,0,0,0,17089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78286,0,0
dish_1558029842,166393,0,0,0,0,14020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82756,0,0
dish_1558029923,130903,0,0,31529,0,12023,8205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80509,0,0
dish_1558030182,166569,0,0,219,0,2,0,0,0,0,0,0,0,0,16087,0,0,0,0,0,0,0,0,80292,0,0
dish_1558030289,166023,0,0,0,0,20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77107,0,0
dish_1558030383,167514,0,0,0,0,0,20090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75565,0,0
dish_1558030435,132351,0,0,3959,0,19884,19653,0,0,0,0,0,0,0,12036,0,0,0,0,0,0,0,0,75286,0,0
dish_1558030724,166779,0,0,180,0,14520,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81191,0,0
dish_1558030832,166800,0,0,17095,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,79256,0,0
dish_1558030910,167696,0,0,0,0,0,13421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82052,0,0
dish_1558030971,165465,0,0,24,221,9246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88213,0,0
dish_1558031019,130172,0,0,14629,0,25816,14117,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,78432,0,0
dish_1558031133,166984,0,0,22887,0,0,75,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,73216,0,0
dish_1558031237,166181,0,0,0,0,19493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77495,0,0
dish_1558031302,167293,0,0,1073,0,0,0,0,0,0,0,0,0,0,14124,0,0,0,0,0,0,0,0,80679,0,0
dish_1558031351,167397,0,0,0,0,11294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84478,0,0
dish_1558031394,131528,0,0,22858,0,31265,43,0,0,0,0,0,0,0,8444,0,0,0,0,0,0,0,0,69031,0,0
dish_1558031526,167572,0,0,12683,0,0,1699,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,81189,0,0
dish_1558031566,166794,0,0,0,0,0,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79500,0,0
dish_1558031628,166463,0,0,0,0,19747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76959,0,0
dish_1558031675,130465,0,0,14918,0,20280,16924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80582,0,0
dish_1558032156,166967,0,0,13,0,0,16902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79287,0,0
dish_1558109864,166346,0,0,0,0,0,0,0,0,0,17413,0,0,0,0,0,0,0,0,0,0,0,0,79410,0,0
dish_1558109907,166126,0,0,0,3713,7514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85816,0,0
dish_1558109945,166035,0,0,0,0,12255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84879,0,0
dish_1558109986,166535,0,0,12,47,0,18809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77766,0,0
dish_1558110245,216024,0,0,0,100,8809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38236,0,0
dish_1558110297,216037,0,0,0,300,8484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38348,0,0
dish_1558110335,216803,0,0,81,0,0,8406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37879,0,0
dish_1558110385,216154,0,7422,0,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,38011,0,0
dish_1558110436,216237,0,0,11612,0,0,990,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,33915,0,0
dish_1558110478,166400,0,605,7675,3,9558,10061,0,0,12807,0,0,0,0,1621,0,0,0,0,0,0,0,0,54439,0,0
dish_1558113154,216498,0,0,0,277,9577,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36796,0,0
dish_1558113204,216203,0,0,0,0,0,0,0,0,0,13408,0,0,0,0,0,0,0,0,0,0,0,0,33558,0,0
dish_1558113255,215874,0,0,0,0,17090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30205,0,0
dish_1558113304,166575,0,0,0,0,30883,0,0,0,0,10359,0,0,0,0,0,0,0,0,0,0,0,0,55352,0,0
dish_1558113430,215410,33616,0,720,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13410,0,0
dish_1558113477,216416,0,0,0,0,0,0,0,0,0,16616,0,0,0,0,0,0,0,0,0,0,0,0,30137,0,0
dish_1558113941,165529,31287,0,140,12,0,0,0,0,0,19359,0,0,0,0,0,0,0,0,0,0,0,0,46842,0,0
dish_1558114086,216215,0,0,0,0,10009,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36881,0,0
dish_1558114145,216419,0,0,0,147,15283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31320,0,0
dish_1558114209,215992,0,0,0,0,16913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30264,0,0
dish_1558114284,167582,0,0,0,0,43628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51959,0,0
dish_1558114441,216352,0,0,0,0,0,18391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28426,0,0
dish_1558114484,216444,0,0,1,0,0,16405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30319,0,0
dish_1558114523,216505,0,0,0,2,0,135,0,0,0,7365,0,0,0,0,0,0,0,0,0,0,0,0,39162,0,0
dish_1558114569,216263,0,64,0,1458,4671,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40704,0,0
dish_1558114609,166084,0,7,505,9,6618,34929,0,0,0,4056,0,0,0,0,0,0,0,0,0,0,0,0,50961,0,0
dish_1558114875,215812,0,0,0,0,10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36900,0,0
dish_1558114937,215470,34884,0,501,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12282,0,0
dish_1558115011,216322,0,0,0,0,0,175,0,0,0,8188,0,0,0,0,0,0,0,0,0,0,0,0,38484,0,0
dish_1558115047,165448,33480,0,851,0,11309,0,0,0,0,8443,0,0,0,0,0,0,0,0,0,0,0,0,43638,0,0
dish_1558115169,215281,0,0,0,0,0,18324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29564,0,0
dish_1558115241,216025,0,0,1020,0,0,0,0,0,0,0,0,0,0,19268,0,0,0,0,0,0,0,0,26856,0,0
dish_1558115282,215629,0,0,0,0,10373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37167,0,0
dish_1558115320,216153,0,0,0,0,0,0,0,0,0,11737,0,0,0,0,0,0,0,0,0,0,0,0,35279,0,0
dish_1558115364,168318,0,136,2057,255,11632,17529,0,0,0,3786,0,0,0,15721,0,0,0,0,0,0,0,0,43735,0,0
dish_1558115448,216233,0,0,0,0,16587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30349,0,0
dish_1558115512,216355,0,0,0,0,0,23649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23165,0,0
dish_1558115601,216279,0,0,51,0,0,0,0,0,0,0,0,0,0,18685,0,0,0,0,0,0,0,0,28154,0,0
dish_1558115641,107763,0,0,4,0,21424,29905,0,0,0,0,0,0,0,16309,0,0,0,0,0,0,0,0,87764,0,0
dish_1558115764,215086,0,0,0,0,0,18771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29312,0,0
dish_1558115825,216246,0,0,0,0,11043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35880,0,0
dish_1558115867,215642,0,0,0,0,0,316,0,0,0,9405,0,0,0,0,0,0,0,0,0,0,0,0,37806,0,0
dish_1558115915,216051,0,0,0,0,0,11879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35239,0,0
dish_1558115960,215905,0,0,402,0,0,81,0,0,0,0,0,0,0,9212,0,0,0,0,0,0,0,0,37569,0,0
dish_1558116001,111108,0,0,364,2033,10343,32008,0,0,0,3602,0,0,0,6925,0,0,0,0,0,0,0,0,96786,0,0
dish_1558116090,216125,0,0,363,0,14465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32216,0,0
dish_1558116146,216458,0,0,0,0,17942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28769,0,0
dish_1558116201,215793,0,0,0,0,0,20479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26897,0,0
dish_1558116260,216207,0,0,0,0,0,6,0,0,0,18525,0,0,0,0,0,0,0,0,0,0,0,0,28431,0,0
dish_1558116298,107728,0,169,469,543,39541,20434,0,0,0,9537,0,0,0,154,0,0,0,0,0,0,0,0,84594,0,0
dish_1558116399,216336,22549,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24118,0,0
dish_1558116436,216131,0,0,0,0,0,9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37939,0,0
dish_1558116486,215828,0,0,0,0,8670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38671,0,0
dish_1558116547,215460,0,0,0,0,9993,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37142,0,0
dish_1558122583,216047,0,0,0,0,0,0,0,0,0,0,0,0,0,10709,0,0,0,0,0,0,0,0,36413,0,0
dish_1558122740,106381,18913,0,7398,182,25395,7319,0,0,0,0,0,0,0,3987,0,0,0,0,0,0,0,0,93590,4,0
dish_1558372433,215693,0,0,0,0,10891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36585,0,0
dish_1558372525,216171,0,0,3,0,0,0,0,0,0,15836,0,0,0,0,0,0,0,0,0,0,0,0,31159,0,0
dish_1558372650,216184,0,39,0,1158,12290,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33476,0,0
dish_1558372695,215762,0,0,0,0,0,12559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34848,0,0
dish_1558372771,166944,0,0,0,0,27415,11675,0,0,0,11042,0,0,0,0,0,0,0,0,0,0,0,0,46093,0,0
dish_1558372948,215757,0,0,0,39,0,143,0,0,0,21169,0,0,0,0,0,0,0,0,0,0,0,0,26061,0,0
dish_1558373008,215928,0,0,1,0,0,13991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33249,0,0
dish_1558373074,215406,0,0,0,0,11112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36651,0,0
dish_1558373159,166479,0,0,0,88,12869,10819,0,0,0,31899,0,0,0,0,0,0,0,0,0,0,0,0,41015,0,0
dish_1558373284,215683,0,0,0,0,0,22361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25125,0,0
dish_1558373352,216420,0,0,0,18,17289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29442,0,0
dish_1558373405,216125,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37544,0,0
dish_1558373449,216336,0,0,0,0,0,0,0,0,0,20025,0,0,0,0,0,0,0,0,0,0,0,0,26808,0,0
dish_1558373492,105558,0,11,3,4140,23508,20607,0,0,0,17261,0,0,0,124,0,0,0,0,0,0,0,0,91957,0,0
dish_1558373639,215567,13398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34201,0,0
dish_1558373687,215823,0,0,0,0,0,16330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31016,0,0
dish_1558375506,215842,0,0,0,0,10257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37043,0,0
dish_1558375583,111273,12087,8,358,0,12448,19084,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,107903,0,0
dish_1558375667,215880,0,0,0,0,0,0,0,0,0,24620,0,0,0,0,0,0,0,0,0,0,0,0,22669,0,0
dish_1558375732,216163,0,0,0,7433,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36242,0,0
dish_1558375833,215939,0,0,0,0,0,16353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30877,0,0
dish_1558375886,130847,0,0,0,4567,7428,22235,0,0,0,33081,0,0,0,0,0,0,0,0,0,0,0,0,65011,0,0
dish_1558376212,216076,0,0,0,0,0,0,0,0,0,18289,0,0,0,0,0,0,0,0,0,0,0,0,28804,0,0
dish_1558376306,215869,0,0,0,0,0,21213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26087,0,0
dish_1558376364,216617,0,0,0,891,10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35047,0,0
dish_1558376437,215986,0,0,571,0,7789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38823,0,0
dish_1558376483,131046,0,0,692,1166,19628,28225,0,0,0,17901,0,0,0,0,0,0,0,0,0,0,0,0,64511,0,0
dish_1558376734,216326,0,0,4,0,0,11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35070,0,0
dish_1558376768,215147,0,0,0,0,10431,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37588,0,0
dish_1558376801,216866,5411,0,182,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40585,0,0
dish_1558376874,216778,0,0,0,0,0,0,0,0,0,18828,0,0,0,0,0,0,0,0,0,0,0,0,27563,0,0
dish_1558376938,216142,0,0,0,323,12333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34371,0,0
dish_1558376984,131148,8744,258,568,3080,20245,12684,0,0,0,17914,0,0,0,0,0,0,0,0,0,0,0,0,68528,0,0
dish_1558377105,216248,0,0,0,0,0,22662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24259,0,0
dish_1558378516,216418,0,0,0,0,20578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26173,0,0
dish_1558378553,216322,0,0,0,0,0,0,0,0,0,19821,0,0,0,0,0,0,0,0,0,0,0,0,27026,0,0
dish_1558378634,105976,0,25,222,2063,19448,15843,0,0,0,16304,0,41,0,730,0,0,0,0,0,0,0,0,102517,0,0
dish_1558379128,215572,0,0,0,227,8126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39244,0,0
dish_1558379182,216181,0,0,0,0,0,0,0,0,0,20044,0,0,0,0,0,0,0,0,0,0,0,0,26944,0,0
dish_1558379273,215964,0,0,0,0,0,14222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32983,0,0
dish_1558379324,216357,0,0,0,0,10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35840,0,0
dish_1558379391,107338,0,21,1,1401,21117,12005,0,0,0,16695,0,0,0,53,0,0,0,0,0,0,0,0,104538,0,0
dish_1558379588,215303,0,0,0,0,10468,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37393,0,0
dish_1558379639,215521,0,0,0,0,0,21627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26021,0,0
dish_1558379712,216375,0,0,0,0,0,0,0,0,0,24871,0,0,0,0,0,0,0,0,0,0,0,0,21923,0,0
dish_1558379876,106634,0,2,0,4,13631,25679,0,0,0,28198,0,0,0,0,0,0,0,0,0,0,0,0,89021,0,0
dish_1558380014,216369,0,0,0,0,20722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26078,0,0
dish_1558380058,216072,0,0,0,0,0,0,0,0,0,15571,0,0,0,0,0,0,0,0,0,0,0,0,31526,0,0
dish_1558380152,215196,0,0,0,0,10593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37380,0,0
dish_1558380181,106408,0,0,0,0,35612,0,0,0,0,8889,0,0,0,0,0,0,0,0,0,0,0,0,112260,0,0
dish_1558380414,215708,0,0,0,0,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37857,0,0
dish_1558380464,215837,0,0,0,0,0,0,0,0,0,16265,0,0,0,0,0,0,0,0,0,0,0,0,31067,0,0
dish_1558380527,216212,0,0,0,0,0,20671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26286,0,0
dish_1558380557,105553,0,0,0,5458,6752,21925,0,0,0,16443,0,0,0,0,0,0,0,0,0,0,0,0,107038,0,0
dish_1558380804,216389,10603,0,1415,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34571,0,0
dish_1558381032,216240,0,0,0,0,0,0,0,0,0,8519,0,0,0,0,0,0,0,0,0,0,0,0,38410,0,0
dish_1558381084,216030,0,0,0,3409,4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38971,0,0
dish_1558381143,215443,0,0,0,0,0,11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36540,0,0
dish_1558381206,107564,11336,188,371,222,10203,11132,0,0,0,6873,0,0,0,0,0,0,0,0,0,0,0,0,115280,0,0
dish_1558381665,215351,0,17356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30440,22,0
dish_1558381708,215973,21433,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25690,8,0
dish_1558381742,215985,0,0,0,14733,521,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31580,0,0
dish_1558381819,215420,0,0,0,10490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37259,0,0
dish_1558381840,216893,0,0,419,0,0,4522,12287,0,0,0,0,137,0,61,0,0,0,5,0,0,0,0,28845,0,0
dish_1558381860,215255,0,0,0,13839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34075,0,0
dish_1558381943,105845,82098,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75216,0,0
dish_1558382263,121458,49170,9732,8,16348,0,337,27902,0,0,233,0,235,0,0,0,0,0,0,0,0,0,0,37746,0,0
dish_1558457415,214750,0,0,0,261,0,5685,0,0,0,0,0,0,0,8342,0,0,0,0,0,0,0,0,34131,0,0
dish_1558457468,215041,0,0,0,0,12465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35663,0,0
dish_1558457530,214701,0,17610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30858,0,0
dish_1558457577,215475,0,6438,17,0,0,0,0,0,16258,0,0,0,0,251,0,0,0,0,0,0,0,0,24730,0,0
dish_1558457665,165087,0,5346,86,0,7979,487,0,0,30713,0,0,0,0,11171,0,0,0,0,0,0,0,0,42300,0,0
